content|author
Cuando la vida te presente razones para llorar, demuéstrale que tienes mil y una razones para reír.|Anónimo
La vida es muy peligrosa. No por las personas que hacen el mal, sino por las que se sientan a ver lo que pasa.|Albert Einstein
Al final, lo que importa no son los años de vida, sino la vida de los años.|Abraham Lincoln
Aprendí que no se puede dar marcha atrás, que la esencia de la vida es ir hacia adelante. La vida, en realidad, es una calle de sentido único.|Agatha Christie
Estar preparado es importante, saber esperar lo es aún más, pero aprovechar el momento adecuado es la clave de la vida.|Arthur Schnitzler
A veces podemos pasarnos años sin vivir en absoluto, y de pronto toda nuestra vida se concentra en un solo instante.|Oscar Wilde
La vida es aquello que te va sucediendo mientras te empeñas en hacer otros planes.|John Lennon
La vida no se ha hecho para comprenderla, sino para vivirla.|Jorge Santayana
La mayor rémora de la vida es la espera del mañana y la pérdida del día de hoy.|Séneca
¿Me preguntas por qué compro arroz y flores? Compro arroz para vivir y flores para tener algo por lo que vivir.|Confucio
Lo menos frecuente en este mundo es vivir. La mayoría de la gente existe, eso es todo.|Oscar Wilde
¡Qué pequeñas son mis manos en relación con todo lo que la vida ha querido darme!|Ramón J. Sénder
Aquel que tiene un porqué para vivir se puede enfrentar a todos los "cómos".|Friedrich Nietzsche
En tres tiempos se divide la vida: en presente, pasado y futuro. De éstos, el presente es brevísimo; el futuro, dudoso; el pasado, cierto.|Séneca
La vida es una serie de colisiones con el futuro; no es una suma de lo que hemos sido, sino de lo que anhelamos ser.|José Ortega y Gasset
La vida es un negocio en el que no se obtiene una ganancia que no vaya acompañada de una pérdida.|Arturo Graf
Hay dos maneras de vivir su vida: una como si nada es un milagro, la otra es como si todo es un milagro.|Albert Einstein
Todo el mundo trata de realizar algo grande, sin darse cuenta de que la vida se compone de cosas pequeñas.|Frank A. Clark
Tanta prisa tenemos por hacer, escribir y dejar oír nuestra voz en el silencio de la eternidad, que olvidamos lo único realmente importante: vivir.|Robert Louis Stevenson
Nunca consideres el estudio como una obligación, sino como una oportunidad para penetrar en el bello y maravilloso mundo del saber.|Albert Einstein
Dime y lo olvido, enséñame y lo recuerdo, involúcrame y lo aprendo.|Benjamin Franklin
El maestro que intenta enseñar sin inspirar en el alumno el deseo de aprender está tratando de forjar un hierro frío.|Horace Mann
Donde hay educación no hay distinción de clases.|Confucio
No podemos modelar a nuestros hijos según nuestros deseos, debemos estar con ellos y amarlos como Dios nos los ha entregado.|Goethe
Con mis maestros he aprendido mucho; con mis colegas, más; con mis alumnos todavía más.|Proverbio hindú
Lo más importante que aprendí a hacer después de los cuarenta años fue a decir no cuando es no.|Gabriel García Márquez
Por la ignorancia se desciende a la servidumbre, por la educación se asciende a la libertad.|Diego Luís Córdoba
Excelente maestro es aquel que, enseñando poco, hace nacer en el alumno un deseo grande de aprender.|Arturo Graf
Hay alguien tan inteligente que aprende de la experiencia de los demás.|Voltaire
La verdadera educación consiste en obtener lo mejor de uno mismo. ¿Qué otro libro se puede estudiar mejor que el de la Humanidad?|Mahatma Gandhi
