content|author
人生は道路のようなものだ。 一番の近道は、たいてい一番悪い道だ。|フランシス・ベーコン
世の中は、君の理解する以上に栄光に満ちている。|G・K・チェスタートン
生きるとは呼吸することではない。行動することだ。|ジャン＝ジャック・ルソー
人生は学校である。 そこでは幸福より不幸の方が良い教師である。|フリーチェ
今日という日は、残りの人生の最初の一日。|アメリカン・ビューティー
人間、志を立てるのに遅すぎるということはない。|ボールドウィン
人生はクローズアップで見れば悲劇　ロングショットで見れば喜劇|チャーリー・チャップリン
人生は一箱のマッチに似ている。重大に扱うのはばかばかしい。重大に扱わねば危険である。|芥川 龍之介
よく聞け、金を残して死ぬ者は下だ。仕事を残して死ぬ者は中だ。人を残して死ぬ者は上だ。よく覚えておけ|後藤 新平
行く河の流れは絶えずして、しかももとの水にあらず、 よどみに浮かぶ泡沫は、且つ消え、且つ結びて、久しくとどまりたるためしなし、世の中にある人と住家と、またかくの如し。|方丈記
生は永久の闘いである。 自然との闘い、社会との闘い、他との闘い、永久に解決のない闘いである。 闘え。闘いは生の花である。|大杉栄
過去の成果で未来を生きることはできない。 人は一生何かを生み出し続けなければならない。|カール・ハベル
人生は往復切符を発行していません。 ひとたび出立したら再び帰ってきません。|ローラン
森の分かれ道では人の通らぬ道を選ぼう。すべてが変わる|フロスト
人生において、万巻の書をよむより、 優れた人物に一人でも多く会うほうがどれだけ勉強になるか。|小泉信三
「真相」は分からない。 それを無理に追うよりも、曖昧さの薄闇の中に、物事をおぼろなままで放置せよ。 そこにあるおぼろな形が人生なのだ。|伊藤聖
人生の黄金時代は老いて行く将来にあり、 過ぎ去った若年無知の時代にあるにあらず。|林語堂
思った通りの人生ではなかった。しかし、よかったとなら言える人生だったかもしれない。|アルセーヌ・メルセデス・ヒロコ
平凡な人生こそ真の人生だ。 虚飾や特異から遠く離れたとことにのみ真実があるからだ。|フェーデラー
人生のバッターボックスに立ったら、見送りの三振だけはするなよ。|小林繁
人生はただ歩き回る影法師、哀れな役者だ。 出場の時だけ舞台の上で、見栄をきったりわめいたり、 そしてあとは消えてなくなる。|ウィリアム・シェイクスピア
人間が人間として生きていくのに一番大切なのは、頭の良し悪しではなく、心の良し悪しだ。|中村 天風
人生とは、 病人の一人一人が寝台を変えたいという欲望に取り憑かれている一個の病院である。|ボードレール
もし人生が二回あればお母さんの言う通りに高校へ行くけど、 一回しかないんだから自分の自由にさせてください。|船木誠勝
智に働けば角が立つ。情に棹せば流される。 意地を通せば窮屈だ。兎角にこの世は住みにくい。|夏目 漱石
別れることがなければ、めぐり逢うこともできない。|西洋のことわざ
人間の死ぬのはいつも早すぎるか遅すぎるかよ。 でも一生はちゃんとけりがついてそこにあるのよ。 一本、線が引かれたからには総決算しなけりゃ。 あんたは、あんたの一生以外の何ものでもないのよ。|サルトル
我々の一生の前半は親によって、後半は子供によって台無しにされる。|クラレンス・Ｓ・ダロウ
迷ったらダメなんだな。 人生の答えなんて、考えたって分かるものじゃない。 ただ、そのときそのときを、 ぎりぎり一杯生きている奴だけにその答えは見えてくるんじゃないだろうか。|藤本義一
我々は人生という大きな芝居の熱心な共演者だ。|カロッサ
人生は一冊の書物に似ている。 馬鹿者たちはそれはパラパラとめくっているが、 賢い人間はそれを念入りに読む。 なぜなら、彼はただ一度しかそれを読むことが出来ないのを知っているから。|ジョン・パウル
神のもとには大きなものも小さなものもありはしません。 人生においてもまた、大きなものも小さなものもありはしません。あるものはただ、まっすぐなものと曲がったものだけです。|光あるうち光の中を歩め
人間は負けたら終わりなのではない。辞めたら終わりなのだ。|リチャード・M・ニクソン
乗りかけた船には、ためらわず乗ってしまえ。|ツルゲーネフ
この道より、われを生かす道なし。この道を歩く。|武者小路 実篤
状況？何が状況だ。俺が状況をつくるのだ。|ナポレオン・ボナパルト
いつかできることは、すべて今日でもできる。|ミシェル・ド・モンテーニュ
人生とは出会いであり、 その招待は二度と繰り返されることはない。|指導と信徒
人生は、片手に幸福の黄金の冠を持ち、片手には苦痛の鉄の冠を持っている。 人生に愛されたものは、この二つの冠を同時に渡されるのだ。|ケー・エレン
いい日は幾らでもある。手に入れるのが難しいのはいい人生だ。|アニー・ディラード
